code,name,provinceCode
64,Huyện Chiêm Hóa,18
65,Huyện Hàm Yên,18
66,Huyện Yên Sơn,18
67,Huyện Sơn Dương,18
68,Thành phố Lào Cai,19
69,Huyện Bát Xát,19
70,Huyện Mường Khương,19
71,Huyện Si Ma Cai,19
72,Huyện Bắc Hà,19
73,Huyện Bảo Thắng,19
74,Huyện Bảo Yên,19
75,Thị xã Sa Pa,19
76,Huyện Văn Bàn,19
77,Thành phố Điện Biên Phủ,20
78,Thị Xã Mường Lay,20
79,Huyện Mường Nhé,20
80,Huyện Mường Chà,20
81,Huyện Tủa Chùa,20
82,Huyện Tuần Giáo,20
83,Huyện Điện Biên,20
84,Huyện Điện Biên Đông,20
85,Huyện Mường Ảng,20
86,Huyện Nậm Pồ,20
87,Thành phố Lai Châu,21
88,Huyện Tam Đường,21
89,Huyện Mường Tè,21
90,Huyện Sìn Hồ,21
91,Huyện Phong Thổ,21
92,Huyện Than Uyên,21
93,Huyện Tân Uyên,21
94,Huyện Nậm Nhùn,21
95,Thành phố Sơn La,22
96,Huyện Quỳnh Nhai,22
97,Huyện Thuận Châu,22
98,Huyện Mường La,22
99,Huyện Bắc Yên,22
100,Huyện Phù Yên,22
101,Huyện Mộc Châu,22
102,Huyện Yên Châu,22
103,Huyện Mai Sơn,22
104,Huyện Sông Mã,22
105,Huyện Sốp Cộp,22
106,Huyện Vân Hồ,22
107,Thành phố Yên Bái,23
108,Thị xã Nghĩa Lộ,23
109,Huyện Lục Yên,23
110,Huyện Văn Yên,23
111,Huyện Mù Căng Chải,23
112,Huyện Trấn Yên,23
113,Huyện Trạm Tấu,23
114,Huyện Văn Chấn,23
115,Huyện Yên Bình,23
116,Thành phố Hòa Bình,24
117,Huyện Đà Bắc,24
118,Huyện Lương Sơn,24
119,Huyện Kim Bôi,24
120,Huyện Cao Phong,24
121,Huyện Tân Lạc,24
122,Huyện Mai Châu,24
123,Huyện Lạc Sơn,24
124,Huyện Yên Thủy,24
125,Huyện Lạc Thủy,24
126,Thành phố Thái Nguyên,25
127,Thành phố Sông Công,25
128,Huyện Định Hóa,25
129,Huyện Phú Lương,25
130,Huyện Đồng Hỷ,25
131,Huyện Võ Nhai,25
132,Huyện Đại Từ,25
133,Thị xã Phổ Yên,25
134,Huyện Phú Bình,25
135,Thành phố Lạng Sơn,26
136,Huyện Tràng Định,26
137,Huyện Bình Gia,26
138,Huyện Văn Lãng,26
139,Huyện Cao Lộc,26
140,Huyện Văn Quan,26
141,Huyện Bắc Sơn,26
142,Huyện Hữu Lũng,26
143,Huyện Chi Lăng,26
144,Huyện Lộc Bình,26
145,Huyện Đình Lập,26
146,Thành phố Hạ Long,27
147,Thành phố Móng Cái,27
148,Thành phố Cẩm Phả,27
149,Thành phố Uông Bí,27
150,Huyện Bình Liêu,27
151,Huyện Tiên Yên,27
152,Huyện Đầm Hà,27
153,Huyện Hải Hà,27
154,Huyện Ba Chẽ,27
155,Huyện Vân Đồn,27
156,Thị xã Đông Triều,27
157,Thị xã Quảng Yên,27
158,Huyện Cô Tô,27
159,Thành phố Bắc Giang,28
160,Huyện Yên Thế,28
161,Huyện Tân Yên,28
162,Huyện Lạng Giang,28
163,Huyện Lục Nam,28
164,Huyện Lục Ngạn,28
165,Huyện Sơn Động,28
166,Huyện Yên Dũng,28
167,Huyện Việt Yên,28
